Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Autopilot__c,Battery__c,Billing_Status__c,Cancelled__c,Contact_Name__c,Delivery_Date__c,Hydraulic_System__c,Interior__c,Loan_Application__c,Manufacturing_Status__c,Model__c,Owner__c,Paint__c,Payment_Type__c,Prediction_Sample__c,Price__c,Rear_Seats__c,SAP_ID__c,Self_Driving__c,Spoiler__c,Status__c,Sunroof__c,Web_ID__c,Wheels__c,Year__c
a04P0000004SgQpIAK,005P0000002j5xdIAA,,201911-00026,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeHIAX,,100 kWh,Not Invoiced,,Olivia Steadings,,,Black Textile,,,Flint,003P000001FicPKIAZ,1000,Loan,1,41500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQqIAK,005P0000002j5xdIAA,,201911-00027,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeIIAX,1,100 kWh,Not Invoiced,1,Dodie Ownes,,,Black Premium,,,Flash,003P000001FicPLIAZ,55,Loan,1,67800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQrIAK,005P0000002j5xdIAA,,201911-00028,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeJIAX,,100 kWh,Not Invoiced,,My Mason,,,Cream Premium,,,Flare,003P000001FicPMIAZ,4150,Loan,1,50000,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQsIAK,005P0000002j5xdIAA,,201911-00029,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeKIAX,,100 kWh,Not Invoiced,,Alina Kriesel,,,White Premium,,,Flare,003P000001FicPNIAZ,0,Loan,1,51300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQtIAK,005P0000002j5xdIAA,,201911-00030,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeLIAX,,100 kWh,Not Invoiced,,Melvin Burham,,1,Black Premium,,,Flare,003P000001FicPOIAZ,230,Loan,1,52600,,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SgQuIAK,005P0000002j5xdIAA,,201911-00031,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeMIAX,,100 kWh,Not Invoiced,,Kasie Willcoxon,,,White Premium,,,Flare,003P000001FicPPIAZ,4150,Loan,1,51500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQvIAK,005P0000002j5xdIAA,,201911-00032,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeNIAX,,75 kWh,Not Invoiced,,Jarrod Pilkenton,,1,Cream Premium,,,Flash,003P000001FicPQIAZ,1000,Cash,1,57600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQwIAK,005P0000002j5xdIAA,,201911-00033,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeOIAX,,100P kWh,Not Invoiced,,Ila Butsch,,,Light Premium,,,Flare,003P000001FicPRIAZ,130,Cash,1,53300,1,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgQxIAK,005P0000002j5xdIAA,,201911-00034,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJePIAX,,100 kWh,Not Invoiced,,Naoma Songy,,1,Black Premium,,,Flare,003P000001FicPSIAZ,130,Cash,1,52400,1,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SgQyIAK,005P0000002j5xdIAA,,201911-00035,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeQIAX,,75 kWh,Not Invoiced,,Nada Dunleavy,,,Light Premium,,,Flash,003P000001FicPTIAZ,1000,Loan,1,57800,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgQzIAK,005P0000002j5xdIAA,,201911-00036,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeRIAX,1,75 kWh,Not Invoiced,,Jamila Toohey,,,Black Textile,,,Flint,003P000001FicPUIAZ,230,Cash,1,40000,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgR0IAK,005P0000002j5xdIAA,,201911-00037,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeSIAX,,100 kWh,Not Invoiced,,Becky Mittendorf,,,Light Premium,,,Flare,003P000001FicPVIAZ,230,Loan,1,51500,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgR1IAK,005P0000002j5xdIAA,,201911-00038,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeTIAX,1,100 kWh,Not Invoiced,,Carylon Sotolongo,,,Black Textile,,,Flint,003P000001FicPWIAZ,4150,Loan,1,46300,1,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SgR2IAK,005P0000002j5xdIAA,,201911-00039,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeUIAX,1,75 kWh,Not Invoiced,,Lynetta Lineberger,,,Cream Premium,,,Flint,003P000001FicPXIAZ,4150,Cash,1,41300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgR3IAK,005P0000002j5xdIAA,,201911-00040,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeVIAX,1,100 kWh,Not Invoiced,,Francisco Emmi,,,Cream Premium,,,Flash,003P000001FicPYIAZ,0,Cash,1,66300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgR4IAK,005P0000002j5xdIAA,,201911-00041,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeWIAX,,75 kWh,Not Invoiced,1,Naomi Alhambra,,1,Black Textile,,,Flash,003P000001FicPZIAZ,1000,Cash,1,58900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgR5IAK,005P0000002j5xdIAA,,201911-00042,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeXIAX,1,75 kWh,Not Invoiced,1,Berenice Vanwagenen,,,White Premium,,,Flare,003P000001FicPaIAJ,130,Cash,1,50000,,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgR6IAK,005P0000002j5xdIAA,,201911-00043,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeYIAX,1,75 kWh,Not Invoiced,1,Karie Shadd,,1,Black Premium,,,Flint,003P000001FicPbIAJ,130,Cash,1,41100,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgR7IAK,005P0000002j5xdIAA,,201911-00044,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeZIAX,,75 kWh,Not Invoiced,,Freddy Reedy,,1,Light Premium,,,Flint,003P000001FicPcIAJ,130,Cash,1,37400,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgR8IAK,005P0000002j5xdIAA,,201911-00045,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeaIAH,,100 kWh,Not Invoiced,,Sanford Martindale,,1,White Premium,,,Flash,003P000001FicPdIAJ,1000,Loan,1,63900,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SgR9IAK,005P0000002j5xdIAA,,201911-00046,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJebIAH,,75 kWh,Not Invoiced,1,Angele Rancher,,1,Cream Premium,,,Flash,003P000001FicPeIAJ,0,Cash,1,56100,,,,,Purchase,,,"19"" Silver Wheels",2019
a04P0000004SgRAIA0,005P0000002j5xdIAA,,201911-00047,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJecIAH,,100 kWh,Not Invoiced,,Lou Spielvogel,,1,White Premium,,,Flare,003P000001FicPfIAJ,130,Cash,1,52400,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgRBIA0,005P0000002j5xdIAA,,201911-00048,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJedIAH,,100 kWh,Not Invoiced,,Zachary Swiney,,,Cream Premium,,,Flash,003P000001FicPgIAJ,4150,Cash,1,61300,1,,,,Purchase,,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgRCIA0,005P0000002j5xdIAA,,201911-00049,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeeIAH,1,100 kWh,Not Invoiced,,Timothy Janack,,1,Black Textile,,,Flash,003P000001FicPhIAJ,130,Cash,1,68900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgRDIA0,005P0000002j5xdIAA,,201911-00050,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJefIAH,,100 kWh,Not Invoiced,,Evan Humphrey,,1,Black Premium,,,Flash,003P000001FicPiIAJ,230,Loan,1,62600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgREIA0,005P0000002j5xdIAA,,201911-00051,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJegIAH,,100P kWh,Not Invoiced,,Macy Tatel,,1,Cream Premium,,,Flash,003P000001FicPjIAJ,55,Loan,1,65900,1,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SgRFIA0,005P0000002j5xdIAA,,201911-00052,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJehIAH,,100P kWh,Not Invoiced,1,Cindy Perkowski,,1,Black Textile,,,Flare,003P000001FicPkIAJ,130,Loan,1,55900,1,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgRGIA0,005P0000002j5xdIAA,,201911-00053,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJeiIAH,,100 kWh,Not Invoiced,,Antonette Karshner,,,Black Premium,,,Flash,003P000001FicPlIAJ,230,Loan,1,61500,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgRHIA0,005P0000002j5xdIAA,,201911-00054,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJejIAH,1,100 kWh,Not Invoiced,,Hwa Monaghan,,1,Black Textile,,,Flare,003P000001FicPmIAJ,1000,Cash,1,57600,,,,,Purchase,1,,"19"" Silver Wheels",2019
a04P0000004SgRIIA0,005P0000002j5xdIAA,,201911-00055,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJekIAH,1,100 kWh,Not Invoiced,1,Kayleen Popelka,,1,Black Premium,,,Flash,003P000001FicPnIAJ,130,Cash,1,67600,,,,,Purchase,1,,"19"" Sonic Carbon Wheels",2019
a04P0000004SgRJIA0,005P0000002j5xdIAA,,201911-00056,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJelIAH,,75 kWh,Not Invoiced,,Sheryl Steinmacher,,,Black Premium,,,Flare,003P000001FicPoIAJ,1000,Loan,1,45000,,,,,Purchase,,,"19"" Onyx Black Spinners",2019
a04P0000004SgRKIA0,005P0000002j5xdIAA,,201911-00057,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJemIAH,1,75 kWh,Not Invoiced,1,Keena Piehler,,,White Premium,,,Flare,003P000001FicPpIAJ,1000,Cash,1,51500,,,,,Purchase,1,,"19"" Onyx Black Spinners",2019
a04P0000004SgRLIA0,005P0000002j5xdIAA,,201911-00058,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,005P0000002j5xdIAA,2019-11-15T01:17:11.000+0000,,,,001P000001SUJenIAH,,100 kWh,Not Invoiced,,Cassaundra Scelsi,,1,Light Premium,,,Flint,003P000001FicPqIAJ,1000,Loan,1,42600,,,,,Purchase,1,,"19"" Silver Wheels",2019
