Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Username__c
001P000001SUJe1IAH,,,Madison Abplanalp,Customer,,1442 2nd Street,Santa Monica,CA,90401,USA,,,,"{""city"":""Santa Monica"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90401"",""state"":""CA"",""street"":""1442 2nd Street""}",1442 2nd Street,Santa Monica,CA,90401,USA,,,,"{""city"":""Santa Monica"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90401"",""state"":""CA"",""street"":""1442 2nd Street""}",(555) 533-3051,,,,/services/images/photo/001P000001SUJe1IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,madison.abplanalp
001P000001SUJe2IAH,,,Tamiko Stiver,Customer,,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 214-3058,,,,/services/images/photo/001P000001SUJe2IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,tamiko.stiver
001P000001SUJe3IAH,,,Germaine Assis,Customer,,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 341-4669,,,,/services/images/photo/001P000001SUJe3IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,germaine.assis
001P000001SUJe4IAH,,,Nathanial Saltus,Customer,,1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",(555) 792-9295,,,,/services/images/photo/001P000001SUJe4IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,nathanial.saltus
001P000001SUJe5IAH,,,Vonnie Tierman,Customer,,111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",111 West Illinois Street,Chicago,IL,60654,USA,,,,"{""city"":""Chicago"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""60654"",""state"":""IL"",""street"":""111 West Illinois Street""}",(555) 268-2368,,,,/services/images/photo/001P000001SUJe5IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,vonnie.tierman
001P000001SUJe6IAH,,,Jocelyn Maschke,Customer,,1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",(555) 528-4804,,,,/services/images/photo/001P000001SUJe6IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,jocelyn.maschke
001P000001SUJe7IAH,,,Gavin Eversmann,Customer,,14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",14878 Lost River Court,Hughesville,MD,20637,USA,,,,"{""city"":""Hughesville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""20637"",""state"":""MD"",""street"":""14878 Lost River Court""}",(555) 340-3313,,,,/services/images/photo/001P000001SUJe7IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,gavin.eversmann
001P000001SUJe8IAH,,,Lesia Schulenberg,Customer,,2012 Northern Plains Dr,Bismarck,ND,58504,USA,,,,"{""city"":""Bismarck"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""58504"",""state"":""ND"",""street"":""2012 Northern Plains Dr""}",2012 Northern Plains Dr,Bismarck,ND,58504,USA,,,,"{""city"":""Bismarck"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""58504"",""state"":""ND"",""street"":""2012 Northern Plains Dr""}",(555) 721-2335,,,,/services/images/photo/001P000001SUJe8IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,lesia.schulenberg
001P000001SUJe9IAH,,,Majorie Meroney,Customer,,658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",(555) 676-6075,,,,/services/images/photo/001P000001SUJe9IAH,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,majorie.meroney
001P000001SUJeAIAX,,,Roselle Kleinman,Customer,,111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",111 Monument Circle,Indianapolis,IN,46204,USA,,,,"{""city"":""Indianapolis"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46204"",""state"":""IN"",""street"":""111 Monument Circle""}",(555) 745-8315,,,,/services/images/photo/001P000001SUJeAIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,roselle.kleinman
001P000001SUJeBIAX,,,Evelynn Falasco,Customer,,301 Sherman Street,Huntington,IN,46750,USA,,,,"{""city"":""Huntington"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46750"",""state"":""IN"",""street"":""301 Sherman Street""}",301 Sherman Street,Huntington,IN,46750,USA,,,,"{""city"":""Huntington"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""46750"",""state"":""IN"",""street"":""301 Sherman Street""}",(555) 604-7400,,,,/services/images/photo/001P000001SUJeBIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,evelynn.falasco
001P000001SUJeCIAX,,,Victorina Racedo,Customer,,658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",(555) 334-7723,,,,/services/images/photo/001P000001SUJeCIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,victorina.racedo
001P000001SUJeDIAX,,,Suanne Fraklin,Customer,,818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",818 Sparta Hwy,Milledgeville,GA,31061,USA,,,,"{""city"":""Milledgeville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""31061"",""state"":""GA"",""street"":""818 Sparta Hwy""}",(555) 927-8426,,,,/services/images/photo/001P000001SUJeDIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,suanne.fraklin
001P000001SUJeEIAX,,,Breanne Martindale,Customer,,206 De Korra Ln,Wisconsin Dells,WI,53965,USA,,,,"{""city"":""Wisconsin Dells"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53965"",""state"":""WI"",""street"":""206 De Korra Ln""}",206 De Korra Ln,Wisconsin Dells,WI,53965,USA,,,,"{""city"":""Wisconsin Dells"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""53965"",""state"":""WI"",""street"":""206 De Korra Ln""}",(555) 716-5794,,,,/services/images/photo/001P000001SUJeEIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,breanne.martindale
001P000001SUJeFIAX,,,Harriet Voner,Customer,,7139 Kilback Mountains,Antonito,CO,81120,USA,,,,"{""city"":""Antonito"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""81120"",""state"":""CO"",""street"":""7139 Kilback Mountains""}",7139 Kilback Mountains,Antonito,CO,81120,USA,,,,"{""city"":""Antonito"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""81120"",""state"":""CO"",""street"":""7139 Kilback Mountains""}",(555) 914-7953,,,,/services/images/photo/001P000001SUJeFIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,harriet.voner
001P000001SUJeGIAX,,,Santiago Klippel,Customer,,1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",(555) 663-3111,,,,/services/images/photo/001P000001SUJeGIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,santiago.klippel
001P000001SUJeHIAX,,,Olivia Steadings,Customer,,620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",(555) 682-8505,,,,/services/images/photo/001P000001SUJeHIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,olivia.steadings
001P000001SUJeIIAX,,,Dodie Ownes,Customer,,174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",174 Unnamed Road,Youngstown,FL,32466,USA,,,,"{""city"":""Youngstown"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""32466"",""state"":""FL"",""street"":""174 Unnamed Road""}",(555) 821-6160,,,,/services/images/photo/001P000001SUJeIIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,dodie.ownes
001P000001SUJeJIAX,,,My Mason,Customer,,7452 30th Avenue Northeast,Willow City,ND,58384,USA,,,,"{""city"":""Willow City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""58384"",""state"":""ND"",""street"":""7452 30th Avenue Northeast""}",7452 30th Avenue Northeast,Willow City,ND,58384,USA,,,,"{""city"":""Willow City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""58384"",""state"":""ND"",""street"":""7452 30th Avenue Northeast""}",(555) 406-5940,,,,/services/images/photo/001P000001SUJeJIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,my.mason
001P000001SUJeKIAX,,,Alina Kriesel,Customer,,3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",(555) 830-5277,,,,/services/images/photo/001P000001SUJeKIAX,,,,,,,,,,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,005P0000002j5xdIAA,2019-11-15T01:16:54.000+0000,,,,,,Pending,,,,,,,,,,alina.kriesel
